label	Prevalence	TotalAbundance	min_rel_ab	max_rel_ab	domain	phylum	class	order	family	genus	species	relAbundance	pass_filters	relprev
Trabulsiella	1	12	0	0.0010003334444814939	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Trabulsiella	NA	5.83879666293308e-6	F	0.008928571428571428
Atlantibacter	1	8	0	6.668889629876625e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	NA	3.8925311086220536e-6	F	0.008928571428571428
Kurthia	1	6	0	6.381620931716656e-4	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Kurthia	NA	2.91939833146654e-6	F	0.008928571428571428
Catellicoccus	1	4	0	1.4948800358771208e-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Catellicoccaceae	Catellicoccus	NA	1.9462655543110268e-6	F	0.008928571428571428
Bacteroides	1	3	0	3.1033412640943414e-4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	1.45969916573327e-6	F	0.008928571428571428
Alloprevotella	1	2	0	6.820119352088662e-5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	NA	9.731327771555134e-7	F	0.008928571428571428
Saccharococcus	1	2	0	1.694053870913095e-4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Saccharococcus	NA	9.731327771555134e-7	F	0.008928571428571428
Sphingobacterium	1	2	0	8.432058687128462e-5	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	NA	9.731327771555134e-7	F	0.008928571428571428
Tibeticola	1	2	0	1.78826895565093e-4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Tibeticola	NA	9.731327771555134e-7	F	0.008928571428571428
Oenococcus	1	1	0	4.905808477237049e-5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Oenococcus	NA	4.865663885777567e-7	F	0.008928571428571428
