dataset	method	from	to	weight	from_name	to_name	asso_est	asso_type	edge_betw	name_from_sorted	name_to_sorted	edge_name
ST110_FMBN_ps	spring	2	9	0.2539021503558967	Enterobacter	Latilactobacillus	-0.11332400248710975	mut_ex	16.833333333333332	Enterobacter	Latilactobacillus	Enterobacter--Latilactobacillus
ST110_FMBN_ps	spring	5	9	0.49780060379187197	Lactiplantibacillus	Latilactobacillus	0.4955915328963833	copres	12.33333333333333	Lactiplantibacillus	Latilactobacillus	Lactiplantibacillus--Latilactobacillus
ST110_FMBN_ps	spring	5	10	0.35073600521110226	Lactiplantibacillus	Leuconostoc	0.15691253014152426	copres	5.166666666666667	Lactiplantibacillus	Leuconostoc	Lactiplantibacillus--Leuconostoc
ST110_FMBN_ps	spring	9	10	0.3120337356628501	Latilactobacillus	Leuconostoc	0.05340483826797346	copres	3.833333333333333	Latilactobacillus	Leuconostoc	Latilactobacillus--Leuconostoc
ST110_FMBN_ps	spring	8	11	0.36504630452945785	Lactococcus	Macrococcus	0.19366760921660403	copres	15.499999999999996	Lactococcus	Macrococcus	Lactococcus--Macrococcus
ST110_FMBN_ps	spring	4	12	0.2596043454401247	Escherichia/Shigella	Staphylococcus	-0.09637145058229227	mut_ex	15.999999999999998	Escherichia/Shigella	Staphylococcus	Escherichia/Shigella--Staphylococcus
ST110_FMBN_ps	spring	11	12	0.31380906518361407	Macrococcus	Staphylococcus	0.05828400195162878	copres	9.666666666666666	Macrococcus	Staphylococcus	Macrococcus--Staphylococcus
ST110_FMBN_ps	spring	1	13	0.34220686561942415	Acinetobacter	Streptococcus	0.1346163847235553	copres	12.166666666666666	Acinetobacter	Streptococcus	Acinetobacter--Streptococcus
ST110_FMBN_ps	spring	11	13	0.29276517879212227	Macrococcus	Streptococcus	-3.6218465787746235e-4	mut_ex	7.333333333333333	Macrococcus	Streptococcus	Macrococcus--Streptococcus
ST110_FMBN_ps	spring	12	13	0.29131284956805403	Staphylococcus	Streptococcus	-0.004474954374703105	mut_ex	4.5	Staphylococcus	Streptococcus	Staphylococcus--Streptococcus
ST110_FMBN_ps	spring	9	14	0.36070435682049184	Latilactobacillus	Weissella	0.18260216122339792	copres	10.999999999999998	Latilactobacillus	Weissella	Latilactobacillus--Weissella
ST110_FMBN_ps	spring	10	14	0.2933381772389606	Leuconostoc	Weissella	0.0012581365040905679	copres	9.333333333333334	Leuconostoc	Weissella	Leuconostoc--Weissella
ST110_FMBN_ps	spring	11	14	0.3539138980740584	Macrococcus	Weissella	0.1651454977962836	copres	6.833333333333332	Macrococcus	Weissella	Macrococcus--Weissella
ST110_FMBN_ps	spring	12	14	0.33124522021374514	Staphylococcus	Weissella	0.10553408902607561	copres	6.833333333333333	Staphylococcus	Weissella	Staphylococcus--Weissella
ST110_FMBN_ps	spring	13	14	0.23235515171907262	Streptococcus	Weissella	-0.17855722618449618	mut_ex	9.333333333333332	Streptococcus	Weissella	Streptococcus--Weissella
ST110_FMBN_ps	sparcc	2	3	0.5188090867832993	Enterobacter	Enterococcus	0.5369106100753553	copres	4.15	Enterobacter	Enterococcus	Enterobacter--Enterococcus
ST110_FMBN_ps	sparcc	2	4	0.5672832331788662	Enterobacter	Escherichia/Shigella	0.625512399423729	copres	2.7	Enterobacter	Escherichia/Shigella	Enterobacter--Escherichia/Shigella
ST110_FMBN_ps	sparcc	3	4	0.6848867552950557	Enterococcus	Escherichia/Shigella	0.8014072860230439	copres	2.3000000000000003	Enterococcus	Escherichia/Shigella	Enterococcus--Escherichia/Shigella
ST110_FMBN_ps	sparcc	2	7	0.5595884075198375	Enterobacter	Lactobacillus	0.6120752584181746	copres	2.533333333333333	Enterobacter	Lactobacillus	Enterobacter--Lactobacillus
ST110_FMBN_ps	sparcc	3	7	0.736069547549264	Enterococcus	Lactobacillus	0.8606814325382997	copres	1.8500000000000003	Enterococcus	Lactobacillus	Enterococcus--Lactobacillus
ST110_FMBN_ps	sparcc	4	7	0.7456718617574745	Escherichia/Shigella	Lactobacillus	0.8706343961961817	copres	1.45	Escherichia/Shigella	Lactobacillus	Escherichia/Shigella--Lactobacillus
ST110_FMBN_ps	sparcc	2	8	1	Enterobacter	Lactococcus	1	copres	4.483333333333333	Enterobacter	Lactococcus	Enterobacter--Lactococcus
ST110_FMBN_ps	sparcc	3	8	1	Enterococcus	Lactococcus	1	copres	1.5	Enterococcus	Lactococcus	Enterococcus--Lactococcus
ST110_FMBN_ps	sparcc	4	8	1	Escherichia/Shigella	Lactococcus	1	copres	3.3000000000000003	Escherichia/Shigella	Lactococcus	Escherichia/Shigella--Lactococcus
ST110_FMBN_ps	sparcc	7	8	1	Lactobacillus	Lactococcus	1	copres	2.35	Lactobacillus	Lactococcus	Lactobacillus--Lactococcus
ST110_FMBN_ps	sparcc	1	10	0.11479125245268851	Acinetobacter	Leuconostoc	-0.5671890534685599	mut_ex	4.933333333333333	Acinetobacter	Leuconostoc	Acinetobacter--Leuconostoc
