id	new_id	new_genus_species	new_species	new_genus	new_family
Lactobacillus oris	Limosilactobacillus oris	Limosilactobacillus oris	oris	Limosilactobacillus	Lactobacillaceae
Lactobacillus panis	Limosilactobacillus panis	Limosilactobacillus panis	panis	Limosilactobacillus	Lactobacillaceae
Lactobacillus pontis	Limosilactobacillus pontis	Limosilactobacillus pontis	pontis	Limosilactobacillus	Lactobacillaceae
Lactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus reuteri	reuteri	Limosilactobacillus	Lactobacillaceae
Lactobacillus secaliphilus	Limosilactobacillus secaliphilus	Limosilactobacillus secaliphilus	secaliphilus	Limosilactobacillus	Lactobacillaceae
Lactobacillus vaginalis	Limosilactobacillus vaginalis	Limosilactobacillus vaginalis	vaginalis	Limosilactobacillus	Lactobacillaceae
Lactobacillus aquaticus	Liquorilactobacillus aquaticus	Liquorilactobacillus aquaticus	aquaticus	Liquorilactobacillus	Lactobacillaceae
Lactobacillus cacaonum	Liquorilactobacillus cacaonum	Liquorilactobacillus cacaonum	cacaonum	Liquorilactobacillus	Lactobacillaceae
Lactobacillus capillatus	Liquorilactobacillus capillatus	Liquorilactobacillus capillatus	capillatus	Liquorilactobacillus	Lactobacillaceae
Lactobacillus ghanensis	Liquorilactobacillus ghanensis	Liquorilactobacillus ghanensis	ghanensis	Liquorilactobacillus	Lactobacillaceae
Lactobacillus hordei	Liquorilactobacillus hordei	Liquorilactobacillus hordei	hordei	Liquorilactobacillus	Lactobacillaceae
Lactobacillus mali	Liquorilactobacillus mali	Liquorilactobacillus mali	mali	Liquorilactobacillus	Lactobacillaceae
Lactobacillus nagelii	Liquorilactobacillus nagelii	Liquorilactobacillus nagelii	nagelii	Liquorilactobacillus	Lactobacillaceae
Lactobacillus oeni	Liquorilactobacillus oeni	Liquorilactobacillus oeni	oeni	Liquorilactobacillus	Lactobacillaceae
Lactobacillus satsumensis	Liquorilactobacillus satsumensis	Liquorilactobacillus satsumensis	satsumensis	Liquorilactobacillus	Lactobacillaceae
Lactobacillus sicerae	Liquorilactobacillus sicerae	Liquorilactobacillus sicerae	sicerae	Liquorilactobacillus	Lactobacillaceae
Lactobacillus sucicola	Liquorilactobacillus sucicola	Liquorilactobacillus sucicola	sucicola	Liquorilactobacillus	Lactobacillaceae
Lactobacillus uvarum	Liquorilactobacillus uvarum	Liquorilactobacillus uvarum	uvarum	Liquorilactobacillus	Lactobacillaceae
Lactobacillus vini	Liquorilactobacillus vini	Liquorilactobacillus vini	vini	Liquorilactobacillus	Lactobacillaceae
Lactobacillus backii	Loigolactobacillus backii	Loigolactobacillus backii	backii	Loigolactobacillus	Lactobacillaceae
Lactobacillus bifermentans	Loigolactobacillus bifermentans	Loigolactobacillus bifermentans	bifermentans	Loigolactobacillus	Lactobacillaceae
Lactobacillus binensis 	Loigolactobacillus binensis 	Loigolactobacillus binensis 	binensis	Loigolactobacillus	Lactobacillaceae
Lactobacillus coryniformis	Loigolactobacillus coryniformis	Loigolactobacillus coryniformis	coryniformis	Loigolactobacillus	Lactobacillaceae
Lactobacillus iwatensis	Loigolactobacillus iwatensis	Loigolactobacillus iwatensis	iwatensis	Loigolactobacillus	Lactobacillaceae
Lactobacillus jiayinensis	Loigolactobacillus jiayinensis	Loigolactobacillus jiayinensis	jiayinensis	Loigolactobacillus	Lactobacillaceae
Lactobacillus rennini	Loigolactobacillus rennini	Loigolactobacillus rennini	rennini	Loigolactobacillus	Lactobacillaceae
Lactobacillus zhaoyuanensis	Loigolactobacillus zhaoyuanensis	Loigolactobacillus zhaoyuanensis	zhaoyuanensis	Loigolactobacillus	Lactobacillaceae
Lactobacillus selangorensis	Paralactobacillus selangorensis	Paralactobacillus selangorensis	selangorensis	Paralactobacillus	Lactobacillaceae
Lactobacillus hokkaidonensis	Paucilactobacillus hokkaidonensis	Paucilactobacillus hokkaidonensis	hokkaidonensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus kaifaensis	Paucilactobacillus kaifaensis	Paucilactobacillus kaifaensis	kaifaensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus nenjiangensis	Paucilactobacillus nenjiangensis	Paucilactobacillus nenjiangensis	nenjiangensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus oligofermentans	Paucilactobacillus oligofermentans	Paucilactobacillus oligofermentans	oligofermentans	Paucilactobacillus	Lactobacillaceae
Lactobacillus suebicus	Paucilactobacillus suebicus	Paucilactobacillus suebicus	suebicus	Paucilactobacillus	Lactobacillaceae
Lactobacillus vaccinostercus	Paucilactobacillus vaccinostercus	Paucilactobacillus vaccinostercus	vaccinostercus	Paucilactobacillus	Lactobacillaceae
Lactobacillus wasatchensis	Paucilactobacillus wasatchensis	Paucilactobacillus wasatchensis	wasatchensis	Paucilactobacillus	Lactobacillaceae
Lactobacillus harbinensis	Schleiferilactobacillus harbinensis	Schleiferilactobacillus harbinensis	harbinensis	Schleiferilactobacillus	Lactobacillaceae
Lactobacillus perolens	Schleiferilactobacillus perolens	Schleiferilactobacillus perolens	perolens	Schleiferilactobacillus	Lactobacillaceae
Lactobacillus shenzhenensis	Schleiferilactobacillus shenzhenensis	Schleiferilactobacillus shenzhenensis	shenzhenensis	Schleiferilactobacillus	Lactobacillaceae
Lactobacillus collinoides	Secundilactobacillus collinoides	Secundilactobacillus collinoides	collinoides	Secundilactobacillus	Lactobacillaceae
Lactobacillus kimchicus	Secundilactobacillus kimchicus	Secundilactobacillus kimchicus	kimchicus	Secundilactobacillus	Lactobacillaceae
Lactobacillus malefermentans	Secundilactobacillus malefermentans	Secundilactobacillus malefermentans	malefermentans	Secundilactobacillus	Lactobacillaceae
Lactobacillus mixtipabuli	Secundilactobacillus mixtipabuli	Secundilactobacillus mixtipabuli	mixtipabuli	Secundilactobacillus	Lactobacillaceae
Lactobacillus odoratitofui	Secundilactobacillus odoratitofui	Secundilactobacillus odoratitofui	odoratitofui	Secundilactobacillus	Lactobacillaceae
Lactobacillus oryzae	Secundilactobacillus oryzae	Secundilactobacillus oryzae	oryzae	Secundilactobacillus	Lactobacillaceae
Lactobacillus paracollinoides	Secundilactobacillus paracollinoides	Secundilactobacillus paracollinoides	paracollinoides	Secundilactobacillus	Lactobacillaceae
Lactobacillus  pentosiphilus	Secundilactobacillus pentosiphilus	Secundilactobacillus pentosiphilus	pentosiphilus	Secundilactobacillus	Lactobacillaceae
Lactobacillus silagei 	Secundilactobacillus silagei 	Secundilactobacillus silagei 	silagei	Secundilactobacillus	Lactobacillaceae
Lactobacillus silagincola	Secundilactobacillus silagincola	Secundilactobacillus silagincola	silagincola	Secundilactobacillus	Lactobacillaceae
Lactobacillus similis	Secundilactobacillus similis	Secundilactobacillus similis	similis	Secundilactobacillus	Lactobacillaceae
Lactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus reuteri	reuteri	Limosilactobacillus	Lactobacillaceae
